cluster0,cluster0response,cluster0descriptor
"(1009.0174560546875, 2036.3326416015625, 2.973365306854248, 184.31436157226562, 0.051929548382759094, 3015679, -1)",0.051929548382759094,"[  3.   9.  11.   9.  90.   3.   0.   0.   9.  16.  15.  22.   2.   0.
  10.  13.  83.  67.   1.   1.   0.   0.  13.  11.  42.  28.   0.   0.
   0.   0.   0.   1.  11.   1.   7.  11. 100.  28.   7.  29.  58.   1.
   7.   3.   3.  13. 105. 145.  47.  10.   0.   0.  43.  88. 137.  54.
  75.  15.   0.   0.   5.   5.   3.   5.  58.   6.   0.   3. 105.  38.
   3.  13. 145.  36.   0.   1.  24.   9.  15.  76.  45.  10.   1.   3.
 145.  55.  17.  13.  71.  19.   1.   2.  32.   3.   0.   1.  42.   7.
   0.   4. 126.   5.   0.   1. 145.  38.   0.   1.  15.   3.   0.   7.
  56.   8.   0.   0. 145.  44.   0.   4.  65.  16.   0.   0.  41.   9.
   0.   1.]"
"(1009.0174560546875, 2036.3326416015625, 2.973365306854248, 184.31436157226562, 0.051929548382759094, 3015679, -1)",0.051929548382759094,"[  3.   9.  11.   9.  90.   3.   0.   0.   9.  16.  15.  22.   2.   0.
  10.  13.  83.  67.   1.   1.   0.   0.  13.  11.  42.  28.   0.   0.
   0.   0.   0.   1.  11.   1.   7.  11. 100.  28.   7.  29.  58.   1.
   7.   3.   3.  13. 105. 145.  47.  10.   0.   0.  43.  88. 137.  54.
  75.  15.   0.   0.   5.   5.   3.   5.  58.   6.   0.   3. 105.  38.
   3.  13. 145.  36.   0.   1.  24.   9.  15.  76.  45.  10.   1.   3.
 145.  55.  17.  13.  71.  19.   1.   2.  32.   3.   0.   1.  42.   7.
   0.   4. 126.   5.   0.   1. 145.  38.   0.   1.  15.   3.   0.   7.
  56.   8.   0.   0. 145.  44.   0.   4.  65.  16.   0.   0.  41.   9.
   0.   1.]"
"(1009.0174560546875, 2036.3326416015625, 2.973365306854248, 184.31436157226562, 0.051929548382759094, 3015679, -1)",0.051929548382759094,"[  3.   9.  11.   9.  90.   3.   0.   0.   9.  16.  15.  22.   2.   0.
  10.  13.  83.  67.   1.   1.   0.   0.  13.  11.  42.  28.   0.   0.
   0.   0.   0.   1.  11.   1.   7.  11. 100.  28.   7.  29.  58.   1.
   7.   3.   3.  13. 105. 145.  47.  10.   0.   0.  43.  88. 137.  54.
  75.  15.   0.   0.   5.   5.   3.   5.  58.   6.   0.   3. 105.  38.
   3.  13. 145.  36.   0.   1.  24.   9.  15.  76.  45.  10.   1.   3.
 145.  55.  17.  13.  71.  19.   1.   2.  32.   3.   0.   1.  42.   7.
   0.   4. 126.   5.   0.   1. 145.  38.   0.   1.  15.   3.   0.   7.
  56.   8.   0.   0. 145.  44.   0.   4.  65.  16.   0.   0.  41.   9.
   0.   1.]"
"(1009.055419921875, 2024.68603515625, 3.4614009857177734, 186.92054748535156, 0.051687199622392654, 14025727, -1)",0.051687199622392654,"[ 55.  12.   0.   2.  85.  15.   0.   2. 125.  44.   0.   0.  55.  12.
   1.   8.  34.  13.   1.   1. 125.  31.   0.   1.  39.  13.   1.   0.
   1.   0.   0.   1.  55.   6.   0.   1. 125.  30.   1.   4. 125.  39.
   9.   8.  35.  15.   1.  21.  43.  11.  10.  36. 125.  65.   1.   6.
  58.  14.   1.   2.   7.   4.   0.   3.  18.  15.   4.  31. 125.  26.
   2.   3.  82. 113. 109.  34.  10.   2.   9.   9.  26.  35.  99. 125.
  42.   8.  10.   2.  75.  44.   5.   5.   2.   1.   1.   3.   1.   2.
   1.  21.  87.  27.  43.  45.   1.  10.  17.   5.   4.  15. 125.  61.
  12.   6.  11.   8.   7.  63. 121.   6.  73.  22.   0.   0.   3.  17.
   9.   7.]"
"(1008.1000366210938, 1995.6824951171875, 3.0789949893951416, 180.70217895507812, 0.049098461866378784, 5571583, -1)",0.049098461866378784,"[  0.   4. 135.  71.  15.   2.   1.   1.   1.   8. 135.  35.   1.   1.
  20.  16.  44.  14.  77.  37.   2.   3.  21.   9.  87.   9.   2.   1.
   0.   0.   0.   4.  14.   1.   3.  11.  50.  38.  10.  24.  70.   3.
   5.   2.   5.  22. 111. 135.  40.   3.   1.   0.  51. 115. 105.  30.
 101.  13.   0.   0.   6.   6.   2.   3.  48.   7.   0.   5.  90.  16.
   1.   5. 135.  29.   0.   1.  22.  10.   9.  33.  47.   9.   0.   4.
 135.  57.   8.   6.  77.  24.   0.   1.  34.   4.   0.   0.  36.   4.
   0.   1.  91.  10.   0.   0. 135.  49.   2.   6.  12.   0.   0.   1.
  32.  16.   3.  27. 135.   2.   0.   1.  66.   9.   0.   1.  36.   0.
   0.   4.]"
"(1008.1000366210938, 1995.6824951171875, 3.0789949893951416, 180.70217895507812, 0.049098461866378784, 5571583, -1)",0.049098461866378784,"[  0.   4. 135.  71.  15.   2.   1.   1.   1.   8. 135.  35.   1.   1.
  20.  16.  44.  14.  77.  37.   2.   3.  21.   9.  87.   9.   2.   1.
   0.   0.   0.   4.  14.   1.   3.  11.  50.  38.  10.  24.  70.   3.
   5.   2.   5.  22. 111. 135.  40.   3.   1.   0.  51. 115. 105.  30.
 101.  13.   0.   0.   6.   6.   2.   3.  48.   7.   0.   5.  90.  16.
   1.   5. 135.  29.   0.   1.  22.  10.   9.  33.  47.   9.   0.   4.
 135.  57.   8.   6.  77.  24.   0.   1.  34.   4.   0.   0.  36.   4.
   0.   1.  91.  10.   0.   0. 135.  49.   2.   6.  12.   0.   0.   1.
  32.  16.   3.  27. 135.   2.   0.   1.  66.   9.   0.   1.  36.   0.
   0.   4.]"
"(947.0812377929688, 2168.41552734375, 2.95306396484375, 199.99838256835938, 0.04821160435676575, 2556927, -1)",0.04821160435676575,"[  6.   3.   0.   0.   2.   5.  25.  10.  59.  45.   0.   0.   0.   8.
  10.   4.  66.  25.   0.   0.   0.   0.  21.  53.   1.   1.   0.   0.
   0.  12.  74.  20.  43.   6.   0.   0.   1.  26.  50.  51.  82.  11.
   0.   0.  19. 121.  30.  10. 128.  12.   0.   0.   1.   6.  29.  97.
  20.   1.   0.   0.   0.  18. 128.  51. 119.  65.   0.   0.   1.  11.
   5.   9.  67.  18.   0.   0.  39. 128.  14.  11. 128. 128.   2.   0.
   9.  31.   6.  24.  63. 120.   3.   0.   0.   0.  35.  31.  70.  63.
   0.   0.   0.   0.   0.   1.  43.  92.   2.   0.  27.  41.   0.   0.
  32. 110.   4.   1.  31.  55.   2.   3. 111. 128.   2.   0.   0.   1.
   1.   3.]"
"(1007.9248657226562, 1981.880126953125, 3.021275520324707, 3.53424072265625, 0.04748265817761421, 4195327, -1)",0.04748265817761421,"[  5.  10.   1.   1.  84.  20.   0.   0.  12.  56.  51.  12.   7.   6.
   9.   4.   2.  15. 128.  78.   5.  18.  13.   2.  58.   9.  62.  65.
   1.   2.   2.  40.  10.   1.   0.   2. 121.  13.   0.   9.  62.   5.
   4.   5.  21.  21.  78. 116.   5.   1.   3.  21.  78. 128.  95.  21.
 104.  12.   1.   5.  16.  19.   8.  39.  32.   2.   0.   6. 112.   4.
   0.   2. 128.  29.   3.  12.  37.   9.   8.  36.  16.   6.   2.  51.
 128.  55.   8.   7. 113.  20.   1.   8.  44.   9.   0.   1.  24.   1.
   0.   4.  78.  10.   0.   0. 128.   8.   0.   1.  25.  15.   3.  20.
  24.   1.   0.   1. 128.  77.   3.   9.  70.  13.   0.   0.  58.  12.
   0.   1.]"
"(1007.9248657226562, 1981.880126953125, 3.021275520324707, 3.53424072265625, 0.04748265817761421, 4195327, -1)",0.04748265817761421,"[  5.  10.   1.   1.  84.  20.   0.   0.  12.  56.  51.  12.   7.   6.
   9.   4.   2.  15. 128.  78.   5.  18.  13.   2.  58.   9.  62.  65.
   1.   2.   2.  40.  10.   1.   0.   2. 121.  13.   0.   9.  62.   5.
   4.   5.  21.  21.  78. 116.   5.   1.   3.  21.  78. 128.  95.  21.
 104.  12.   1.   5.  16.  19.   8.  39.  32.   2.   0.   6. 112.   4.
   0.   2. 128.  29.   3.  12.  37.   9.   8.  36.  16.   6.   2.  51.
 128.  55.   8.   7. 113.  20.   1.   8.  44.   9.   0.   1.  24.   1.
   0.   4.  78.  10.   0.   0. 128.   8.   0.   1.  25.  15.   3.  20.
  24.   1.   0.   1. 128.  77.   3.   9.  70.  13.   0.   0.  58.  12.
   0.   1.]"
"(945.9818115234375, 2159.173095703125, 3.2970244884490967, 178.17218017578125, 0.04714551195502281, 10486783, -1)",0.04714551195502281,"[125.   7.   0.   0.  14.   6.   1.  14.  80.  10.   0.   0.  92.  40.
   5.  42. 125.  35.   0.   0.   2.  10.  30. 112.   8.   3.   0.   0.
   0.  56. 108.  14. 125.  54.   0.   1.   9.   1.   0.   2.  81.  45.
   1.   2. 103.  26.   4.   8. 125. 107.   0.   0.   7.   3.   4.  23.
  83.  21.   4.   5.   5.   3.  31.  18. 115.  42.   1.   1.   1.   0.
   1.   4. 108.  18.   0.   0.  21.  29.  59.  60. 125.  15.   0.   0.
   2.   5.  32. 112.  54.  51.  20.   4.   2.   0.   0.   3. 111.   3.
   0.   0.   0.   0.   2.  17. 125.   2.   0.   0.   0.   0.  10.  34.
  62.   7.   0.   0.   0.   0.   7.  37.  18.  16.   4.   0.   0.   0.
   0.   5.]"
"(943.6778564453125, 2165.5712890625, 2.940765142440796, 196.95428466796875, 0.04430927336215973, 2229247, -1)",0.04430927336215973,"[ 41.  14.   0.   0.   5.  29.  16.   4. 112.  11.   0.   0.   0.   1.
  26.  77.   4.   0.   0.   0.   0.  24. 126.  33.   0.   0.   0.   0.
   1.  28.  98.  24.  52.   3.   0.   0.  29. 114.  15.  11. 129.  19.
   0.   0.   3.  14.  16.  73.  46.  15.   0.   0.   0.  14. 129.  57.
   1.   0.   0.   0.   1.  10. 129.  82.  45.  28.   1.   0.  42.  73.
   4.   5. 129. 129.   1.   0.  20.  33.   2.  10. 103. 129.   1.   0.
   0.   0.  12.  16.  31.  24.   5.   4.  10.   2.  17.  25.  29.  86.
   1.   0.  15.  16.   0.   0.  37.  57.   1.   0.  31.  49.  12.  11.
 129. 115.   1.   0.   0.   2.   5.  18.  29.  53.  25.   4.   2.   0.
   0.   0.]"
"(949.2810668945312, 2115.96630859375, 4.376418113708496, 144.91395568847656, 0.043259505182504654, 14287104, -1)",0.043259505182504654,"[  1.   2.   1.   1.   2.   1.   2.   6.   9.   1.   1.   2.   3.   2.
  28. 116.  21.   0.   0.   0.   0.   0.  57. 149.  22.   0.   0.   0.
   0.   0.  21. 149.  30.   1.   0.   0.   0.   0.   7.  44. 149.   7.
   1.   1.   1.   0.  23. 149.  22.   2.   1.  14.  19.   6.  81. 149.
  19.   0.   1.   2.   2.   1.  17.  76.  69.   6.   0.   0.   0.   0.
   0.  27. 149.  60.   4.   3.   1.   0.   0.  77.  58.  24.   9.  21.
  16.   1.   2.  51.  27.   0.   0.   1.   1.   0.   1.  70.  73.   4.
   1.   1.   0.   0.   0. 105. 120.   4.   0.   0.   0.   0.   0. 149.
  28.   3.   0.   0.   0.   0.   0.  94.  11.   0.   0.   0.   0.   0.
   1.  39.]"
"(949.2810668945312, 2115.96630859375, 4.376418113708496, 144.91395568847656, 0.043259505182504654, 14287104, -1)",0.043259505182504654,"[  1.   2.   1.   1.   2.   1.   2.   6.   9.   1.   1.   2.   3.   2.
  28. 116.  21.   0.   0.   0.   0.   0.  57. 149.  22.   0.   0.   0.
   0.   0.  21. 149.  30.   1.   0.   0.   0.   0.   7.  44. 149.   7.
   1.   1.   1.   0.  23. 149.  22.   2.   1.  14.  19.   6.  81. 149.
  19.   0.   1.   2.   2.   1.  17.  76.  69.   6.   0.   0.   0.   0.
   0.  27. 149.  60.   4.   3.   1.   0.   0.  77.  58.  24.   9.  21.
  16.   1.   2.  51.  27.   0.   0.   1.   1.   0.   1.  70.  73.   4.
   1.   1.   0.   0.   0. 105. 120.   4.   0.   0.   0.   0.   0. 149.
  28.   3.   0.   0.   0.   0.   0.  94.  11.   0.   0.   0.   0.   0.
   1.  39.]"
"(925.4901123046875, 2149.509765625, 33.34321212768555, 188.93521118164062, 0.04137052223086357, 10748163, -1)",0.04137052223086357,"[  3.   6.  62.  43.   8.   1.   0.   1.  22.  33.  56.   7.   0.   0.
   4.  19.  88.   5.  14.   7.   0.   0.  10. 120. 110.   0.   0.   1.
   0.   0.   0.  96.  22.   2.   7.   9.  51.  25.   1.  10. 146.   6.
   2.   0.   0.   0.  25. 146.  52.   1.   0.   0.   1.   0.  80. 146.
  25.   0.   0.   1.   7.   3.   6.  74.  34.   3.   0.   0.  82.  41.
   1.   4. 146.  61.   0.   0.   1.   1.   2.  43. 146.  31.   0.   0.
   1.   0.  10.  51.   2.   1.   0.   1.  11.   6.   1.   4.  11.   2.
   0.   0.  94.  34.   0.   0. 146.  79.   0.   0.   5.   2.   0.   0.
 146.  55.   0.   0.   0.   0.   0.   0.   5.   1.   0.   0.   4.   6.
   0.   1.]"
"(1016.2797241210938, 1974.405517578125, 3.0202536582946777, 7.41973876953125, 0.04115988686680794, 4195327, -1)",0.04115988686680794,"[118.  26.   1.   2.  10.   2.   4.  25.  18.  13.   6.  27. 119.  14.
   4.   3.  50.  57.   8.   9.  13.   1.   0.   0.  47.  26.   0.   0.
   0.   0.   0.   0.  75.  51. 106.  38.   3.   0.   0.   8.  22.  26.
 128. 128.  46.   1.   0.   1. 128. 107.  39.  40.   6.   0.   0.   3.
  94.  22.   0.   0.   0.   0.   0.   3.   1.  15. 115.  71.   5.  19.
  20.   2.  62.   8.  78. 107.   3.  11.   8.  46. 128.  37.   7.   5.
   0.   0.   0.  49. 106.  36.   0.   0.   0.   0.   0.   1.  10.   1.
   1.   9.  40.  70.  75.  28.  56.  12.   1.   7.  39.  42.  15.  20.
 128.  34.   0.   0.   0.   0.   0.  12. 106.  13.   0.   0.   0.   0.
   0.   5.]"
"(1016.2797241210938, 1974.405517578125, 3.0202536582946777, 7.41973876953125, 0.04115988686680794, 4195327, -1)",0.04115988686680794,"[118.  26.   1.   2.  10.   2.   4.  25.  18.  13.   6.  27. 119.  14.
   4.   3.  50.  57.   8.   9.  13.   1.   0.   0.  47.  26.   0.   0.
   0.   0.   0.   0.  75.  51. 106.  38.   3.   0.   0.   8.  22.  26.
 128. 128.  46.   1.   0.   1. 128. 107.  39.  40.   6.   0.   0.   3.
  94.  22.   0.   0.   0.   0.   0.   3.   1.  15. 115.  71.   5.  19.
  20.   2.  62.   8.  78. 107.   3.  11.   8.  46. 128.  37.   7.   5.
   0.   0.   0.  49. 106.  36.   0.   0.   0.   0.   0.   1.  10.   1.
   1.   9.  40.  70.  75.  28.  56.  12.   1.   7.  39.  42.  15.  20.
 128.  34.   0.   0.   0.   0.   0.  12. 106.  13.   0.   0.   0.   0.
   0.   5.]"
