cluster1,cluster1response,cluster1descriptor
"(960.583251953125, 921.40283203125, 3.3424739837646484, 342.2713928222656, 0.061476171016693115, 11535359, -1)",0.061476171016693115,"[  0.   1.   0.  30.  65.   1.   0.   1. 129.  32.   2.  23.  31.   1.
   2.  45. 129.  80.   9.   0.   0.   0.   2.  41.   7.  15.   4.  27.
  91.   4.   2.   6.  18.   2.   0.  37.  99.   2.   1.  10. 129.  26.
   2.  10.  21.   6.  32. 129.  42. 112.  33.  26.  26.  34.  46.  49.
   5.  47.  68.  91.  45.   1.   0.   1.  51.   2.   0.  34. 102.   0.
   0.   9. 129.  40.   9.  15.  12.   5.   4.  47.  25.  18.  32. 125.
  65.  49.  11.   8.  16.  20.  59.  35.   9.  16.   2.   2.  54.   0.
   0.  16.  69.   1.   0.  21. 129.   1.   0.   1.   4.   5.   5.  72.
  13.   0.   1.   5.  35.  92.  35.  13.  22.   6.   6.   3.  37.  72.
   9.  13.]"
"(962.3246459960938, 966.30029296875, 3.0558018684387207, 332.15301513671875, 0.06033695489168167, 5047295, -1)",0.06033695489168167,"[  0.   0.   0.  48.  39.   0.   0.   1.  82.   1.   0.  44.  37.   1.
   5.  78. 125.  20.   1.   1.   0.   0.   1. 125.  22.  11.   3.  13.
  18.   4.   3.  17.  23.   4.   2.  76.  52.   0.   1.   7. 125.  18.
   3.  14.  12.   3.  27. 125.  88.  64.  37.  20.  29.  14.  31.  83.
   5.  61. 125.  60.  24.   0.   0.   0.  58.   5.   1.  69.  46.   0.
   0.  33. 125.  55.  18.   8.   2.   3.   5.  85.  17.  25.  55. 100.
  46.  26.  13.   8.   7.   8.  71.  89.  28.   8.   1.   3.  76.   0.
   0.  18.  18.   0.   0.  80. 123.   2.   1.   1.   0.   3.   8.  86.
  16.   1.   3.  16.  31.  71.  43.  18.  16.   1.   1.  18.  53.  70.
   9.  15.]"
"(938.0025024414062, 447.0698547363281, 6.801482677459717, 351.2584533691406, 0.05339150130748749, 12780288, -1)",0.05339150130748749,"[  5.   0.   0.   3.  42.   1.   0.   2. 136.   2.   0.   2.  30.   5.
   4.  89.  65.   5.   3.  25.  97.  31.   7.  36. 100.   2.   1.   5.
  10.   2.   0.  14.  18.   3.   0.   4.  54.   1.   0.   3. 136.  47.
   7.   9.  38.   3.   1.  50.  80.  13.  10.  38. 136.  18.   3.  24.
 107.   0.   0.   1.  14.   2.   0.  41.   6.   7.   3.  12.  82.   5.
   0.   1.  87. 136.  97.  22.  43.   3.   1.   2. 113.  85. 118.  56.
  33.   0.   0.  42.  79.   1.   1.   1.   2.   0.   0.  75.   1.   0.
   0.   1.  77.  13.   1.   1.  25.  21.  15.   2.  50.  20.  17.  15.
 136.  21.  13.   0.   0.   1.   4.  76.  43.   0.   0.   0.   0.   0.
   2.  46.]"
"(964.99169921875, 956.8499755859375, 7.0024733543396, 354.46624755859375, 0.0530969500541687, 14877440, -1)",0.0530969500541687,"[  2.   0.   0.   5.  45.   1.   0.   2. 129.  10.   4.   6.  37.   7.
   4.  48.  88.  24.  30.  46.  23.  14.   4.  13. 129.   6.   3.   2.
   2.   0.   0.  11.  15.   1.   0.   7.  51.   1.   0.   3. 129.  11.
   2.   7.  30.  30.  21. 107.  79.   8.   7.  20.  50. 129.  39.  56.
 129.   2.   1.   0.   1.   3.   3.  35.  21.   4.   0.   8.  63.   0.
   0.   1. 129.  75.  18.  34.  32.   5.   2.  10.  87.  43.  41. 117.
  52.  28.   5.   9. 129.  15.   2.   2.   1.   1.   1.   9.  10.   4.
   0.   6.  67.   2.   0.   0. 129.  44.   3.  10.  33.  10.   3.   6.
  94.  10.   5.  16.  32.  49.  11.  17. 129.   3.   0.   0.   0.   1.
   1.  14.]"
"(932.4563598632812, 408.9236145019531, 3.240713596343994, 352.9699401855469, 0.052937038242816925, 9241599, -1)",0.052937038242816925,"[  7.   2.   0.  15. 102.   1.   0.   1. 135.  71.   1.   5.  24.   1.
   1.  16.  90. 111.  20.   2.   2.   0.   1.   5.  17.  22.  17.  52.
 110.   0.   0.   0.  15.   1.   1.  16. 114.   4.   2.  14. 123.  31.
   1.   2.  20.   7.  34. 135.  22.  80.  29.   5.  39.  38.  45.  44.
   4.  33.  35.  74.  71.   6.   0.   1.  48.   1.   0.  12.  95.   0.
   0.   3. 135.  14.   0.   2.  15.   5.   6.  40.  41.   6.   1.   6.
  79.  73.  58.  14.   6.   3.   1.   7.  79.  64.  35.   3.  42.   1.
   0.   8.  75.   0.   0.   0. 135.   4.   0.   1.   6.   1.   1.   7.
  67.   6.   0.   0.  11.  23.  31.  14.   6.   0.   0.   0. 128.  64.
  17.   6.]"
"(966.1207275390625, 878.4110107421875, 2.770430326461792, 125.95338439941406, 0.051502976566553116, 14615295, -1)",0.051502976566553116,"[  0.   0.   0.  10.  13.   3.   0.   0.   1.   0.   5.  83.  53.   4.
   0.   0.   8.   1.  10.  96.   5.   0.   4.  51.   3.   0.   4.   9.
   0.   0.  13. 121.   1.   0.   3.  64.  13.   1.   0.   0.  25.   6.
   5. 121. 103.   1.   1.   7. 121.  19.   7.  30.  12.   0.   9. 121.
  15.   5.   5.  47.  14.   1.  14.  96.   0.   0.  24. 121.   2.   0.
   2.  12.  14.   1.   4. 121.  20.   1.  31. 121. 121.  26.  13.  20.
   6.   1.  29. 121.  14.  16.  53.  66.  29.   0.   1.   3.  39.   3.
  13.  61.   0.   0.   6.  71.  15.   3.  12.  32.   0.   0.  17. 121.
   3.   2.  44. 121.   6.   1.  11.  33.   5.  22. 108.  91.   4.   0.
   0.   4.]"
"(966.1207275390625, 878.4110107421875, 2.770430326461792, 125.95338439941406, 0.051502976566553116, 14615295, -1)",0.051502976566553116,"[  0.   0.   0.  10.  13.   3.   0.   0.   1.   0.   5.  83.  53.   4.
   0.   0.   8.   1.  10.  96.   5.   0.   4.  51.   3.   0.   4.   9.
   0.   0.  13. 121.   1.   0.   3.  64.  13.   1.   0.   0.  25.   6.
   5. 121. 103.   1.   1.   7. 121.  19.   7.  30.  12.   0.   9. 121.
  15.   5.   5.  47.  14.   1.  14.  96.   0.   0.  24. 121.   2.   0.
   2.  12.  14.   1.   4. 121.  20.   1.  31. 121. 121.  26.  13.  20.
   6.   1.  29. 121.  14.  16.  53.  66.  29.   0.   1.   3.  39.   3.
  13.  61.   0.   0.   6.  71.  15.   3.  12.  32.   0.   0.  17. 121.
   3.   2.  44. 121.   6.   1.  11.  33.   5.  22. 108.  91.   4.   0.
   0.   4.]"
"(966.1207275390625, 878.4110107421875, 2.770430326461792, 125.95338439941406, 0.051502976566553116, 14615295, -1)",0.051502976566553116,"[  0.   0.   0.  10.  13.   3.   0.   0.   1.   0.   5.  83.  53.   4.
   0.   0.   8.   1.  10.  96.   5.   0.   4.  51.   3.   0.   4.   9.
   0.   0.  13. 121.   1.   0.   3.  64.  13.   1.   0.   0.  25.   6.
   5. 121. 103.   1.   1.   7. 121.  19.   7.  30.  12.   0.   9. 121.
  15.   5.   5.  47.  14.   1.  14.  96.   0.   0.  24. 121.   2.   0.
   2.  12.  14.   1.   4. 121.  20.   1.  31. 121. 121.  26.  13.  20.
   6.   1.  29. 121.  14.  16.  53.  66.  29.   0.   1.   3.  39.   3.
  13.  61.   0.   0.   6.  71.  15.   3.  12.  32.   0.   0.  17. 121.
   3.   2.  44. 121.   6.   1.  11.  33.   5.  22. 108.  91.   4.   0.
   0.   4.]"
"(939.4852905273438, 423.20440673828125, 2.5245859622955322, 177.4127197265625, 0.05112360790371895, 7930623, -1)",0.05112360790371895,"[ 21.  13.   3.  22.  56.  15.   4.  11. 116.  51.   5.   5.   2.   6.
  23.  66.   8.  13.  41.  19.   6.  17.  57.  13.   0.   7.  27.  29.
  58.  75.  20.   2.  35.   6.   1.   9.  70.  43.   5.  18. 141.  24.
   2.   3.   5.  25.  27. 126.  20.   8.  27.  16.  27. 141.  74.  26.
   0.   6.  28.  36.  79.  77.  46.   0.  46.   3.   0.   4.  76.  18.
   1.   4. 141.  37.   1.   3.  15.   7.   4.  25.  56.  14.   2.  17.
 106.  48.  21.   7.   1.   4.   1.   4. 141.  65.  22.   0.  30.  10.
   2.  30.  55.   0.   0.   0. 141.  48.   2.   5.  10.   0.   0.   0.
  53.  16.   2.  14.  91.   6.   1.   2.   2.   5.   2.   4. 127.  17.
   1.   3.]"
"(964.5112915039062, 853.8114013671875, 2.6339945793151855, 355.2500305175781, 0.05041729658842087, 11010815, -1)",0.05041729658842087,"[ 46.   7.   0.   3.  11.   1.   0.   8.  50.   8.   1.  23.  98.   1.
   0.   1. 160.  16.   1.   3.   8.   0.   0.   2.  65.   4.   1.   6.
   8.   1.   0.   1.  26.  23.  12.   8.   9.   2.  32.  10.  60.   7.
   6.  25. 113.  24.  25.   9. 160.  24.   1.   2.  12.   4.   6.  18.
  74.  10.   4.  10.   8.   0.   0.   0.   9.  20.  14.   3.   1.  11.
 160.  28.  15.   1.  18.  24.  22. 108. 160.  19. 160.  66.   6.   9.
   6.  23.  43.  47.  46.  61.  16.   3.   1.   0.   0.   0.  28.  63.
  56.  19.   5.  11.  20.  14.  10.   6. 100. 103.  28.  28.  16.   1.
 131.  37.  28.  24.   5.   5.   2.  20.  59.  33.   1.   0.   0.   0.
   0.   6.]"
