,X,Y,Size,Angle,Response,Octave,Class_Id
<KeyPoint 0000015C6FA5D930>,1001.0550537109375,2232.544189453125,2.5046823024749756,220.47454833984375,0.017283359542489052,7340799.0,-1.0
<KeyPoint 0000015C6FD20570>,1024.5628662109375,2202.541015625,2.0663399696350098,213.74365234375,0.01635923609137535,10158591.0,-1.0
<KeyPoint 0000015C6FD205D0>,1029.2259521484375,2198.190185546875,4.506885051727295,219.31204223632812,0.028470385819673538,16384256.0,-1.0
<KeyPoint 0000015C6FD205A0>,1030.088623046875,2194.8984375,2.0336501598358154,220.78733825683594,0.027924830093979836,8978943.0,-1.0
<KeyPoint 0000015C6FD20600>,1038.6864013671875,2183.37451171875,2.4400124549865723,218.87258911132812,0.029535815119743347,5440255.0,-1.0
<KeyPoint 0000015C6FD20630>,1039.870361328125,2186.482421875,1.8238306045532227,219.2405548095703,0.015119671821594238,1114623.0,-1.0
<KeyPoint 0000015C6FD20660>,1055.9276123046875,2161.291259765625,1.967857003211975,220.0205841064453,0.02612326666712761,6619647.0,-1.0
<KeyPoint 0000015C6FD20690>,1058.232421875,2164.61767578125,2.619563102722168,189.1926727294922,0.018221579492092133,10617599.0,-1.0
<KeyPoint 0000015C6FD206C0>,1058.232421875,2164.61767578125,2.619563102722168,216.59593200683594,0.018221579492092133,10617599.0,-1.0
<KeyPoint 0000015C6FD206F0>,1067.83154296875,2155.237060546875,11.299986839294434,212.67002868652344,0.02917673997581005,16056833.0,-1.0
<KeyPoint 0000015C6FD20720>,1070.9237060546875,2118.5478515625,2.0309464931488037,62.0858154296875,0.028454577550292015,8913407.0,-1.0
<KeyPoint 0000015C6FD20750>,1078.5625,47.252044677734375,1.8249893188476562,180.0949249267578,0.019175326451659203,1180159.0,-1.0
<KeyPoint 0000015C6FD20780>,1079.9217529296875,2119.970703125,8.090234756469727,219.55038452148438,0.03666764870285988,8585473.0,-1.0
<KeyPoint 0000015C6FD207B0>,1081.8172607421875,68.006591796875,2.330702543258667,179.4585418701172,0.020906485617160797,2163455.0,-1.0
<KeyPoint 0000015C6FD207E0>,1083.0897216796875,30.352947235107422,3.392737627029419,263.0377197265625,0.023497115820646286,12583935.0,-1.0
<KeyPoint 0000015C6FD20810>,1086.1788330078125,156.04209899902344,3.968656539916992,179.3208465576172,0.023761551827192307,7209216.0,-1.0
